PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,target_fg3_pct,fg3_pct_lag1,fg3_pct_lag2,fg3_pct_trend,fg3_pct_career_avg,fg3a_lag1,fg3a_per_game,high_volume,GP,MIN,AST,TOV,FG_PCT,FT_PCT,gp_lag1,seasons_in_league
201578,Marreese Speights,LAC,2016-17,0.372,0.387,,,0.387,0.9,3.4,0,82,15.7,0.8,0.8,0.445,0.876,72.0,1
201578,Marreese Speights,ORL,2017-18,0.369,0.372,0.387,-0.015000000000000013,0.3795,3.4,4.5,0,52,13.0,0.8,0.8,0.395,0.727,82.0,2
201583,Ryan Anderson,NOP,2015-16,0.366,0.34,,,0.34,5.9,5.4,1,66,30.4,1.1,1.4,0.427,0.873,61.0,1
201583,Ryan Anderson,HOU,2016-17,0.403,0.366,0.34,0.025999999999999968,0.353,5.4,7.0,1,72,29.4,0.9,0.8,0.418,0.86,66.0,2
201583,Ryan Anderson,HOU,2017-18,0.386,0.403,0.366,0.03700000000000003,0.36966666666666664,7.0,5.1,1,66,26.1,0.9,0.6,0.431,0.774,72.0,3
201584,Courtney Lee,CHA,2015-16,0.378,0.402,,,0.402,2.9,2.7,0,79,29.6,1.7,0.9,0.454,0.839,77.0,1
201584,Courtney Lee,NYK,2016-17,0.401,0.378,0.402,-0.02400000000000002,0.39,2.7,3.5,0,77,31.9,2.3,0.9,0.456,0.867,79.0,2
201584,Courtney Lee,NYK,2017-18,0.406,0.401,0.378,0.02300000000000002,0.39366666666666666,3.5,3.7,0,76,30.4,2.4,1.1,0.454,0.919,77.0,3
201584,Courtney Lee,DAL,2018-19,0.291,0.406,0.401,0.0050000000000000044,0.39675000000000005,3.7,1.6,0,34,12.6,1.1,0.4,0.411,0.667,76.0,4
201586,Serge Ibaka,OKC,2015-16,0.326,0.376,,,0.376,3.2,2.4,0,78,32.1,0.8,1.4,0.479,0.752,64.0,1
201586,Serge Ibaka,TOR,2016-17,0.391,0.326,0.376,-0.04999999999999999,0.351,2.4,4.0,0,79,30.7,0.9,1.3,0.48,0.856,78.0,2
201586,Serge Ibaka,TOR,2017-18,0.36,0.391,0.326,0.065,0.36433333333333334,4.0,3.9,0,76,27.5,0.8,1.2,0.483,0.797,79.0,3
201586,Serge Ibaka,TOR,2018-19,0.29,0.36,0.391,-0.031000000000000028,0.36325,3.9,2.3,0,74,27.2,1.3,1.5,0.529,0.763,76.0,4
201586,Serge Ibaka,TOR,2019-20,0.385,0.29,0.36,-0.07,0.34859999999999997,2.3,3.3,0,55,27.0,1.4,2.0,0.512,0.718,74.0,5
201586,Serge Ibaka,LAC,2020-21,0.339,0.385,0.29,0.09500000000000003,0.3546666666666667,3.3,2.8,0,41,23.3,1.8,1.1,0.51,0.811,55.0,6
201586,Serge Ibaka,MIL,2021-22,0.374,0.339,0.385,-0.045999999999999985,0.3524285714285714,2.8,1.8,0,54,16.3,0.9,0.8,0.5,0.727,41.0,7
201587,Nicolas Batum,CHA,2015-16,0.348,0.324,,,0.324,4.4,5.7,1,70,35.0,5.8,2.9,0.426,0.849,71.0,1
201587,Nicolas Batum,CHA,2016-17,0.333,0.348,0.324,0.023999999999999966,0.33599999999999997,5.7,5.3,1,77,34.0,5.9,2.5,0.403,0.856,70.0,2
201587,Nicolas Batum,CHA,2017-18,0.336,0.333,0.348,-0.014999999999999958,0.33499999999999996,5.3,4.3,0,64,31.0,5.5,2.0,0.415,0.831,77.0,3
201587,Nicolas Batum,CHA,2018-19,0.389,0.336,0.333,0.0030000000000000027,0.33525,4.3,4.0,0,75,31.4,3.3,1.6,0.45,0.865,64.0,4
201587,Nicolas Batum,LAC,2020-21,0.404,0.389,0.336,0.05299999999999999,0.346,4.0,4.1,0,67,27.4,2.2,0.8,0.464,0.828,75.0,5
201587,Nicolas Batum,LAC,2021-22,0.4,0.404,0.389,0.015000000000000013,0.35566666666666663,4.1,4.6,0,59,24.8,1.7,0.7,0.463,0.658,67.0,6
201587,Nicolas Batum,LAC,2022-23,0.391,0.4,0.404,-0.0040000000000000036,0.36200000000000004,4.6,4.1,0,78,21.9,1.6,0.6,0.42,0.708,59.0,7
201587,Nicolas Batum,PHI,2023-24,0.395,0.391,0.4,-0.009000000000000008,0.36562500000000003,4.1,3.1,0,60,25.5,2.1,0.7,0.453,0.714,78.0,8
