GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime,gameTimeRemaining,courtDistance,lateGameShot,cornerThree
Shot Chart Detail,22200458,655,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,0,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,5.0,13.0,1,1,20221219,OKC,POR,1970,,,,,2191,13.92838827718412,0,0
Shot Chart Detail,22200458,695,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,0,3,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,10.0,-8.0,1,1,20221219,OKC,POR,1970,,,,,2163,12.806248474865697,0,0
Shot Chart Detail,22200474,412,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,5,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-26.0,13.0,1,1,20221221,OKC,POR,1970,,,,,1777,29.068883707497267,0,0
Shot Chart Detail,22200489,61,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,6,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,17.0,6.0,1,1,20221223,DEN,POR,1970,,,,,376,18.027756377319946,0,0
Shot Chart Detail,22200489,74,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,13.0,22.0,1,1,20221223,DEN,POR,1970,,,,,325,25.553864678361276,0,0
Shot Chart Detail,22200489,105,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,2,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,2.0,16.0,1,1,20221223,DEN,POR,1970,,,,,139,16.1245154965971,0,0
Shot Chart Detail,22200489,625,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,12.0,1,1,20221223,DEN,POR,1970,,,,,2297,19.209372712298546,0,0
Shot Chart Detail,22200504,330,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,32,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,4.0,13.0,1,1,20221226,POR,CHA,1970,,,,,752,13.601470508735444,0,0
Shot Chart Detail,22200504,405,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,54,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,-7.0,1,1,20221226,POR,CHA,1970,,,,,1854,7.0710678118654755,0,0
Shot Chart Detail,22200559,242,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,6,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,2.0,4.0,1,1,20230102,POR,DET,1970,,,,,1137,4.47213595499958,0,0
Shot Chart Detail,22200559,341,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,11,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-6.0,4.0,1,1,20230102,POR,DET,1970,,,,,2115,7.211102550927978,0,0
Shot Chart Detail,22200559,601,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,0.0,17.0,1,1,20230102,POR,DET,1970,,,,,2570,17.0,0,0
Shot Chart Detail,22200571,417,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,7,32,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-22.0,9.0,1,1,20230104,MIN,POR,1970,,,,,1892,23.769728648009426,0,0
