GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200037,658,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,58,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,72,299,1,1,20221023,LAL,POR,1970,,,,
Shot Chart Detail,22200037,687,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,0,12,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-146,222,1,1,20221023,LAL,POR,1970,,,,
Shot Chart Detail,22200051,13,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,11,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,68,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,91,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,211,137,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,267,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,3,1,Made Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,23,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,277,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-114,251,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,291,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,314,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,436,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,1,20221024,POR,DEN,1970,,,,
