PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG3M,FG3A,FG3_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,AST,TOV,SEASON
202692,Alec Burks,NYK,81,28.6,1.9,4.8,0.404,3.5,9.0,0.391,2.7,3.3,0.822,3.0,1.1,2021-22
202692,Alec Burks,DET,51,22.0,1.9,4.7,0.414,3.9,9.0,0.436,3.0,3.7,0.814,2.2,1.1,2022-23
202692,Alec Burks,NYK,66,18.4,1.9,5.0,0.376,3.2,8.6,0.369,2.2,2.5,0.868,1.3,0.7,2023-24
1628409,Alec Peters,PHX,20,11.2,0.9,2.9,0.31,1.4,3.7,0.378,0.4,0.5,0.8,0.6,0.2,2017-18
1630197,Aleksej Pokusevski,OKC,45,24.2,1.3,4.6,0.28,3.1,9.1,0.341,0.7,0.9,0.738,2.2,2.2,2020-21
1630197,Aleksej Pokusevski,OKC,61,20.2,0.9,3.2,0.289,3.0,7.5,0.408,0.6,0.8,0.7,2.1,1.5,2021-22
1630197,Aleksej Pokusevski,OKC,34,20.6,1.1,3.1,0.365,3.2,7.3,0.434,0.6,1.0,0.629,1.9,1.3,2022-23
1630197,Aleksej Pokusevski,CHA,28,14.5,0.6,2.0,0.327,1.8,4.3,0.405,1.1,1.5,0.732,1.3,0.7,2023-24
203518,Alex Abrines,OKC,68,15.5,1.4,3.6,0.381,2.0,5.0,0.393,0.6,0.7,0.898,0.6,0.5,2016-17
203518,Alex Abrines,OKC,75,15.1,1.1,2.9,0.38,1.5,3.9,0.395,0.5,0.6,0.848,0.4,0.3,2017-18
203518,Alex Abrines,OKC,31,19.0,1.3,4.1,0.323,1.8,5.1,0.357,0.4,0.4,0.923,0.6,0.5,2018-19
1627936,Alex Caruso,LAL,25,21.2,1.0,2.0,0.48,3.1,6.9,0.445,2.0,2.6,0.797,3.1,1.7,2018-19
1627936,Alex Caruso,LAL,64,18.4,0.6,1.9,0.333,1.9,4.5,0.412,1.1,1.5,0.734,1.9,0.8,2019-20
1627936,Alex Caruso,LAL,58,21.0,0.9,2.4,0.401,2.3,5.3,0.436,0.8,1.3,0.645,2.8,1.3,2020-21
1627936,Alex Caruso,CHI,41,28.0,1.0,3.1,0.333,2.5,6.2,0.398,1.4,1.8,0.795,4.0,1.4,2021-22
1627936,Alex Caruso,CHI,67,23.5,0.8,2.3,0.364,1.9,4.3,0.455,0.9,1.1,0.808,2.9,1.1,2022-23
1627936,Alex Caruso,CHI,71,28.7,1.9,4.7,0.408,3.6,7.6,0.468,1.0,1.4,0.76,3.5,1.4,2023-24
203458,Alex Len,ATL,77,20.1,1.0,2.6,0.363,4.2,8.4,0.494,1.8,2.8,0.648,1.1,1.3,2018-19
203458,Alex Len,SAC,55,17.6,0.3,1.1,0.271,3.2,5.8,0.555,1.2,1.9,0.648,0.9,1.0,2019-20
203144,Alexey Shved,NYK,42,18.3,1.1,3.3,0.338,3.2,8.0,0.397,2.9,3.6,0.807,2.5,1.1,2014-15
1628035,Alfonzo McKinnie,GSW,72,13.9,0.6,1.6,0.356,1.9,3.8,0.487,0.4,0.7,0.563,0.4,0.4,2018-19
1628035,Alfonzo McKinnie,CLE,40,14.8,0.4,1.6,0.215,1.8,4.3,0.427,0.6,0.8,0.71,0.4,0.7,2019-20
203459,Allen Crabbe,POR,51,13.4,0.6,1.7,0.353,1.2,3.0,0.412,0.2,0.3,0.75,0.8,0.3,2014-15
203459,Allen Crabbe,POR,81,26.0,1.4,3.5,0.393,3.8,8.4,0.459,1.2,1.4,0.867,1.2,0.8,2015-16
203459,Allen Crabbe,POR,79,28.5,1.7,3.8,0.444,3.8,8.2,0.468,1.3,1.6,0.847,1.2,0.8,2016-17
203459,Allen Crabbe,BKN,75,29.3,2.7,7.1,0.378,4.5,11.0,0.407,1.5,1.8,0.852,1.6,1.0,2017-18
203459,Allen Crabbe,BKN,43,26.4,2.3,6.0,0.378,3.2,8.7,0.367,1.0,1.3,0.732,1.1,1.1,2018-19
203459,Allen Crabbe,MIN,37,17.6,1.0,3.2,0.303,1.7,4.8,0.356,0.3,0.4,0.714,0.9,0.5,2019-20
1629019,Allonzo Trier,NYK,64,22.8,0.8,2.1,0.394,3.6,8.1,0.448,2.8,3.5,0.803,1.9,1.8,2018-19
1629019,Allonzo Trier,NYK,24,12.1,0.8,2.2,0.358,2.1,4.4,0.481,1.4,1.8,0.791,1.2,0.9,2019-20
202087,Alonzo Gee,NOP,73,22.4,0.2,0.8,0.283,1.8,3.5,0.518,0.6,0.9,0.667,1.0,0.8,2015-16
1630578,Alperen Sengun,HOU,72,20.7,0.4,1.6,0.248,3.5,7.3,0.474,2.3,3.2,0.711,2.6,2.0,2021-22
1630578,Alperen Sengun,HOU,75,28.9,0.3,0.8,0.333,5.9,10.7,0.553,2.7,3.8,0.715,3.9,2.6,2022-23
1630578,Alperen Sengun,HOU,63,32.5,0.5,1.8,0.297,8.4,15.6,0.537,3.9,5.6,0.693,5.0,2.6,2023-24
1641708,Amen Thompson,HOU,62,22.4,0.1,0.9,0.138,3.9,7.2,0.536,1.7,2.5,0.684,2.6,1.5,2023-24
1629599,Amir Coffey,LAC,44,9.0,0.5,1.3,0.411,1.0,2.3,0.437,0.6,0.9,0.711,0.5,0.3,2020-21
1629599,Amir Coffey,LAC,69,22.7,1.4,3.7,0.378,3.1,6.8,0.453,1.5,1.7,0.863,1.8,0.7,2021-22
1629599,Amir Coffey,LAC,70,20.9,1.0,2.6,0.38,2.4,5.0,0.472,0.9,1.0,0.859,1.1,0.5,2023-24
101161,Amir Johnson,BOS,80,20.1,0.3,0.8,0.409,2.7,4.6,0.576,0.8,1.3,0.67,1.8,1.0,2016-17
2738,Andre Iguodala,GSW,77,26.9,1.0,2.8,0.349,3.0,6.4,0.466,0.9,1.5,0.596,3.0,1.1,2014-15
2738,Andre Iguodala,GSW,65,26.6,0.8,2.4,0.351,2.7,5.7,0.478,0.8,1.3,0.614,3.4,1.2,2015-16
2738,Andre Iguodala,GSW,76,26.3,0.8,2.3,0.362,2.9,5.5,0.528,0.9,1.3,0.706,3.4,0.8,2016-17
